rainfall,humidity,temperature,pressure,wind_speed,magnitude,time,risk,disaster_type,source
2.6,93.0,25.5,1002.2,23.9,0.0,20,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
3.1,94.0,25.5,1001.7,24.9,0.0,21,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.2,94.0,25.4,1002.0,24.1,0.0,22,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.6,94.0,25.4,1002.0,24.9,0.0,23,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.6,93.0,25.4,1002.3,25.1,0.0,0,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.8,94.0,25.3,1002.7,24.8,0.0,1,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
4.4,92.0,25.5,1003.2,22.1,0.0,2,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
2.1,91.0,25.7,1004.0,22.5,0.0,3,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,90.0,26.0,1004.2,23.3,0.0,4,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.9,88.0,26.3,1004.2,22.8,0.0,5,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.6,85.0,26.9,1004.0,21.9,0.0,6,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.7,88.0,26.8,1003.6,21.7,0.0,7,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.1,88.0,26.6,1003.1,22.4,0.0,8,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,86.0,27.0,1002.5,22.6,0.0,9,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.8,88.0,26.7,1002.3,23.0,0.0,10,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.7,88.0,26.6,1001.9,24.1,0.0,11,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.6,88.0,26.5,1002.4,25.4,0.0,12,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.7,87.0,26.4,1002.6,24.1,0.0,13,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.6,91.0,25.5,1003.0,24.1,0.0,14,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.9,93.0,25.4,1003.4,24.5,0.0,15,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.9,92.0,25.4,1003.9,22.2,0.0,16,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.8,91.0,25.6,1004.2,21.1,0.0,17,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.0,91.0,25.5,1004.2,23.4,0.0,18,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.6,94.0,25.1,1003.8,23.3,0.0,19,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.3,93.0,25.2,1003.1,23.8,0.0,20,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.2,91.0,25.4,1002.4,25.0,0.0,21,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.4,91.0,25.1,1002.0,25.8,0.0,22,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
1.5,90.0,25.4,1001.6,26.9,0.0,23,1,1,ERA5 - 2005 Maharashtra/Mumbai Deluge
0.6,95.0,24.3,1010.7,14.1,0.0,0,1,1,ERA5 - 2015 Chennai Deluge
0.6,94.0,24.4,1011.6,12.0,0.0,1,1,1,ERA5 - 2015 Chennai Deluge
0.6,92.0,24.8,1012.1,13.0,0.0,2,1,1,ERA5 - 2015 Chennai Deluge
0.3,91.0,25.5,1012.7,15.5,0.0,3,1,1,ERA5 - 2015 Chennai Deluge
0.5,86.0,26.5,1013.3,15.1,0.0,4,1,1,ERA5 - 2015 Chennai Deluge
0.9,84.0,26.2,1013.4,15.3,0.0,5,1,1,ERA5 - 2015 Chennai Deluge
0.8,84.0,27.1,1012.6,14.7,0.0,6,1,1,ERA5 - 2015 Chennai Deluge
2.6,80.0,27.3,1011.6,16.1,0.0,7,1,1,ERA5 - 2015 Chennai Deluge
1.7,82.0,27.5,1010.8,13.3,0.0,8,1,1,ERA5 - 2015 Chennai Deluge
0.2,82.0,27.5,1009.9,12.1,0.0,9,1,1,ERA5 - 2015 Chennai Deluge
2.2,80.0,27.2,1009.6,12.7,0.0,10,1,1,ERA5 - 2015 Chennai Deluge
2.6,87.0,25.7,1010.3,15.0,0.0,11,1,1,ERA5 - 2015 Chennai Deluge
0.6,92.0,25.2,1010.5,15.7,0.0,12,1,1,ERA5 - 2015 Chennai Deluge
0.2,93.0,25.0,1012.3,13.2,0.0,13,1,1,ERA5 - 2015 Chennai Deluge
0.7,94.0,24.6,1012.5,13.9,0.0,14,1,1,ERA5 - 2015 Chennai Deluge
0.4,94.0,24.5,1013.8,14.1,0.0,15,1,1,ERA5 - 2015 Chennai Deluge
0.1,94.0,24.5,1013.5,11.3,0.0,16,1,1,ERA5 - 2015 Chennai Deluge
0.0,94.0,24.4,1013.5,11.0,0.0,17,1,1,ERA5 - 2015 Chennai Deluge
0.5,93.0,24.4,1013.1,12.6,0.0,18,1,1,ERA5 - 2015 Chennai Deluge
0.7,95.0,24.3,1012.8,12.2,0.0,19,1,1,ERA5 - 2015 Chennai Deluge
0.5,95.0,24.3,1012.3,10.7,0.0,20,1,1,ERA5 - 2015 Chennai Deluge
0.3,95.0,24.3,1011.8,9.4,0.0,21,1,1,ERA5 - 2015 Chennai Deluge
0.3,92.0,24.5,1011.9,8.0,0.0,22,1,1,ERA5 - 2015 Chennai Deluge
0.4,94.0,24.4,1012.2,8.2,0.0,23,1,1,ERA5 - 2015 Chennai Deluge
0.6,95.0,24.3,1012.2,8.9,0.0,0,1,1,ERA5 - 2015 Chennai Deluge
0.6,95.0,24.3,1013.0,8.4,0.0,1,1,1,ERA5 - 2015 Chennai Deluge
0.4,95.0,24.3,1013.4,11.2,0.0,2,1,1,ERA5 - 2015 Chennai Deluge
0.1,92.0,24.9,1014.0,13.2,0.0,3,1,1,ERA5 - 2015 Chennai Deluge
0.0,89.0,25.8,1014.5,13.6,0.0,4,1,1,ERA5 - 2015 Chennai Deluge
0.4,82.0,26.6,1014.4,15.0,0.0,5,1,1,ERA5 - 2015 Chennai Deluge
1.4,86.0,25.6,1013.8,16.1,0.0,6,1,1,ERA5 - 2015 Chennai Deluge
1.4,87.0,25.9,1012.6,16.7,0.0,7,1,1,ERA5 - 2015 Chennai Deluge
0.5,90.0,25.3,1011.2,17.0,0.0,8,1,1,ERA5 - 2015 Chennai Deluge
0.2,88.0,26.0,1010.3,17.2,0.0,9,1,1,ERA5 - 2015 Chennai Deluge
0.3,88.0,25.3,1009.4,19.7,0.0,10,1,1,ERA5 - 2015 Chennai Deluge
0.2,87.0,25.5,1009.9,19.6,0.0,11,1,1,ERA5 - 2015 Chennai Deluge
0.0,90.0,25.3,1010.1,18.6,0.0,12,1,1,ERA5 - 2015 Chennai Deluge
0.0,90.0,25.2,1011.2,18.1,0.0,13,1,1,ERA5 - 2015 Chennai Deluge
0.3,91.0,25.2,1011.8,18.3,0.0,14,1,1,ERA5 - 2015 Chennai Deluge
0.7,91.0,25.1,1012.3,21.4,0.0,15,1,1,ERA5 - 2015 Chennai Deluge
1.2,93.0,24.7,1012.6,21.3,0.0,16,1,1,ERA5 - 2015 Chennai Deluge
0.8,94.0,24.6,1012.5,21.9,0.0,17,1,1,ERA5 - 2015 Chennai Deluge
1.2,94.0,24.5,1012.0,24.5,0.0,18,1,1,ERA5 - 2015 Chennai Deluge
4.9,92.0,24.7,1011.4,27.5,0.0,19,1,1,ERA5 - 2015 Chennai Deluge
5.4,92.0,24.6,1010.8,27.0,0.0,20,1,1,ERA5 - 2015 Chennai Deluge
4.3,92.0,24.7,1010.2,26.7,0.0,21,1,1,ERA5 - 2015 Chennai Deluge
3.1,91.0,24.7,1009.4,22.7,0.0,22,1,1,ERA5 - 2015 Chennai Deluge
2.7,92.0,24.8,1009.4,19.9,0.0,23,1,1,ERA5 - 2015 Chennai Deluge
2.4,92.0,24.8,1009.9,19.2,0.0,0,1,1,ERA5 - 2015 Chennai Deluge
1.9,92.0,24.7,1010.7,17.1,0.0,1,1,1,ERA5 - 2015 Chennai Deluge
2.1,94.0,24.5,1011.3,18.0,0.0,2,1,1,ERA5 - 2015 Chennai Deluge
1.7,92.0,25.0,1012.0,19.2,0.0,3,1,1,ERA5 - 2015 Chennai Deluge
1.5,91.0,24.9,1012.7,19.2,0.0,4,1,1,ERA5 - 2015 Chennai Deluge
1.3,92.0,25.2,1012.3,20.1,0.0,5,1,1,ERA5 - 2015 Chennai Deluge
1.1,93.0,25.4,1011.5,21.3,0.0,6,1,1,ERA5 - 2015 Chennai Deluge
2.0,90.0,25.5,1010.7,20.4,0.0,7,1,1,ERA5 - 2015 Chennai Deluge
2.5,92.0,24.9,1009.9,18.9,0.0,8,1,1,ERA5 - 2015 Chennai Deluge
1.8,92.0,24.8,1009.5,15.8,0.0,9,1,1,ERA5 - 2015 Chennai Deluge
1.2,93.0,24.8,1008.9,13.7,0.0,10,1,1,ERA5 - 2015 Chennai Deluge
0.9,93.0,24.7,1008.7,13.8,0.0,11,1,1,ERA5 - 2015 Chennai Deluge
0.7,94.0,24.6,1008.9,15.4,0.0,12,1,1,ERA5 - 2015 Chennai Deluge
0.9,95.0,24.6,1009.1,17.1,0.0,13,1,1,ERA5 - 2015 Chennai Deluge
1.3,95.0,24.6,1010.0,17.9,0.0,14,1,1,ERA5 - 2015 Chennai Deluge
1.3,95.0,24.4,1010.9,17.3,0.0,15,1,1,ERA5 - 2015 Chennai Deluge
1.6,96.0,24.2,1011.3,17.2,0.0,16,1,1,ERA5 - 2015 Chennai Deluge
1.3,96.0,24.2,1011.1,15.0,0.0,17,1,1,ERA5 - 2015 Chennai Deluge
0.9,96.0,24.1,1010.6,12.6,0.0,18,1,1,ERA5 - 2015 Chennai Deluge
1.2,95.0,24.2,1010.3,12.2,0.0,19,1,1,ERA5 - 2015 Chennai Deluge
1.2,94.0,24.4,1010.0,12.1,0.0,20,1,1,ERA5 - 2015 Chennai Deluge
2.0,94.0,24.3,1009.6,11.0,0.0,21,1,1,ERA5 - 2015 Chennai Deluge
3.8,96.0,24.1,1010.0,13.0,0.0,22,1,1,ERA5 - 2015 Chennai Deluge
4.4,94.0,24.4,1009.8,13.0,0.0,23,1,1,ERA5 - 2015 Chennai Deluge
4.7,94.0,24.2,1010.1,11.3,0.0,0,1,1,ERA5 - 2015 Chennai Deluge
4.3,96.0,24.2,1010.8,11.6,0.0,1,1,1,ERA5 - 2015 Chennai Deluge
4.6,95.0,24.3,1011.5,13.5,0.0,2,1,1,ERA5 - 2015 Chennai Deluge
4.3,93.0,24.2,1012.1,13.4,0.0,3,1,1,ERA5 - 2015 Chennai Deluge
4.6,95.0,24.1,1012.5,13.5,0.0,4,1,1,ERA5 - 2015 Chennai Deluge
4.4,94.0,24.5,1012.3,12.9,0.0,5,1,1,ERA5 - 2015 Chennai Deluge
3.7,93.0,24.8,1011.7,13.4,0.0,6,1,1,ERA5 - 2015 Chennai Deluge
2.4,92.0,24.8,1010.9,13.8,0.0,7,1,1,ERA5 - 2015 Chennai Deluge
1.7,93.0,24.6,1009.9,13.2,0.0,8,1,1,ERA5 - 2015 Chennai Deluge
1.2,94.0,24.7,1009.5,12.8,0.0,9,1,1,ERA5 - 2015 Chennai Deluge
1.4,95.0,24.3,1009.1,11.5,0.0,10,1,1,ERA5 - 2015 Chennai Deluge
0.9,95.0,24.3,1009.0,12.0,0.0,11,1,1,ERA5 - 2015 Chennai Deluge
0.9,94.0,24.2,1009.9,13.4,0.0,12,1,1,ERA5 - 2015 Chennai Deluge
0.9,94.0,24.1,1010.3,14.6,0.0,13,1,1,ERA5 - 2015 Chennai Deluge
0.8,94.0,24.1,1011.2,16.1,0.0,14,1,1,ERA5 - 2015 Chennai Deluge
0.8,93.0,24.3,1011.7,16.9,0.0,15,1,1,ERA5 - 2015 Chennai Deluge
1.0,93.0,24.2,1012.4,17.3,0.0,16,1,1,ERA5 - 2015 Chennai Deluge
1.4,93.0,24.0,1012.2,16.4,0.0,17,1,1,ERA5 - 2015 Chennai Deluge
1.3,95.0,24.1,1011.5,17.4,0.0,18,1,1,ERA5 - 2015 Chennai Deluge
3.5,96.0,24.1,1011.0,18.5,0.0,19,1,1,ERA5 - 2015 Chennai Deluge
3.1,96.0,24.2,1010.5,17.5,0.0,20,1,1,ERA5 - 2015 Chennai Deluge
3.2,94.0,24.3,1009.9,19.4,0.0,21,1,1,ERA5 - 2015 Chennai Deluge
2.9,95.0,24.1,1009.9,20.6,0.0,22,1,1,ERA5 - 2015 Chennai Deluge
2.2,94.0,24.3,1009.7,20.0,0.0,23,1,1,ERA5 - 2015 Chennai Deluge
1.5,94.0,24.5,1009.8,21.5,0.0,0,1,1,ERA5 - 2015 Chennai Deluge
1.0,92.0,24.7,1010.7,21.2,0.0,1,1,1,ERA5 - 2015 Chennai Deluge
1.0,91.0,24.8,1011.4,21.3,0.0,2,1,1,ERA5 - 2015 Chennai Deluge
0.4,90.0,25.1,1012.2,21.4,0.0,3,1,1,ERA5 - 2015 Chennai Deluge
0.5,89.0,25.3,1012.5,21.1,0.0,4,1,1,ERA5 - 2015 Chennai Deluge
0.5,86.0,26.1,1012.5,20.6,0.0,5,1,1,ERA5 - 2015 Chennai Deluge
0.4,85.0,26.1,1011.5,21.9,0.0,6,1,1,ERA5 - 2015 Chennai Deluge
0.2,82.0,26.4,1010.8,23.4,0.0,7,1,1,ERA5 - 2015 Chennai Deluge
0.6,84.0,25.9,1009.6,23.3,0.0,8,1,1,ERA5 - 2015 Chennai Deluge
0.1,83.0,26.1,1008.8,23.7,0.0,9,1,1,ERA5 - 2015 Chennai Deluge
0.1,82.0,26.1,1008.2,21.0,0.0,10,1,1,ERA5 - 2015 Chennai Deluge
0.0,82.0,26.0,1008.7,18.6,0.0,11,1,1,ERA5 - 2015 Chennai Deluge
0.1,82.0,25.7,1009.0,18.7,0.0,12,1,1,ERA5 - 2015 Chennai Deluge
0.2,84.0,25.4,1009.7,19.2,0.0,13,1,1,ERA5 - 2015 Chennai Deluge
0.4,87.0,24.8,1010.3,19.6,0.0,14,1,1,ERA5 - 2015 Chennai Deluge
0.4,89.0,24.5,1011.4,18.1,0.0,15,1,1,ERA5 - 2015 Chennai Deluge
0.2,89.0,24.5,1011.3,17.3,0.0,16,1,1,ERA5 - 2015 Chennai Deluge
0.2,88.0,24.5,1011.3,15.0,0.0,17,1,1,ERA5 - 2015 Chennai Deluge
0.2,88.0,24.5,1010.7,14.3,0.0,18,1,1,ERA5 - 2015 Chennai Deluge
0.2,91.0,24.4,1010.2,14.5,0.0,19,1,1,ERA5 - 2015 Chennai Deluge
0.4,92.0,24.0,1009.8,15.7,0.0,20,1,1,ERA5 - 2015 Chennai Deluge
0.5,91.0,23.9,1009.3,15.5,0.0,21,1,1,ERA5 - 2015 Chennai Deluge
0.3,91.0,23.7,1009.2,14.8,0.0,22,1,1,ERA5 - 2015 Chennai Deluge
0.5,92.0,23.7,1009.1,15.6,0.0,23,1,1,ERA5 - 2015 Chennai Deluge
1.2,93.0,24.5,1006.9,9.5,0.0,0,1,1,ERA5 - 2018 Kerala Floods
2.0,94.0,24.4,1007.5,15.3,0.0,1,1,1,ERA5 - 2018 Kerala Floods
2.7,93.0,24.5,1008.4,9.5,0.0,2,1,1,ERA5 - 2018 Kerala Floods
1.1,94.0,24.6,1009.1,11.2,0.0,3,1,1,ERA5 - 2018 Kerala Floods
0.7,94.0,24.7,1009.7,8.0,0.0,4,1,1,ERA5 - 2018 Kerala Floods
1.5,94.0,24.7,1009.8,10.5,0.0,5,1,1,ERA5 - 2018 Kerala Floods
0.7,91.0,25.4,1009.4,10.5,0.0,6,1,1,ERA5 - 2018 Kerala Floods
0.7,90.0,25.5,1008.9,14.4,0.0,7,1,1,ERA5 - 2018 Kerala Floods
1.1,90.0,25.3,1008.0,14.5,0.0,8,1,1,ERA5 - 2018 Kerala Floods
1.0,88.0,25.3,1007.5,20.1,0.0,9,1,1,ERA5 - 2018 Kerala Floods
0.6,88.0,25.6,1007.3,18.0,0.0,10,1,1,ERA5 - 2018 Kerala Floods
2.1,90.0,25.0,1007.2,18.0,0.0,11,1,1,ERA5 - 2018 Kerala Floods
0.2,88.0,25.5,1006.4,18.3,0.0,12,1,1,ERA5 - 2018 Kerala Floods
1.5,95.0,24.7,1007.1,13.0,0.0,13,1,1,ERA5 - 2018 Kerala Floods
1.4,94.0,24.6,1008.1,10.9,0.0,14,1,1,ERA5 - 2018 Kerala Floods
2.0,94.0,24.7,1009.1,9.3,0.0,15,1,1,ERA5 - 2018 Kerala Floods
1.9,94.0,24.5,1009.9,6.6,0.0,16,1,1,ERA5 - 2018 Kerala Floods
2.5,94.0,24.5,1010.3,13.9,0.0,17,1,1,ERA5 - 2018 Kerala Floods
2.0,95.0,24.1,1010.4,14.8,0.0,18,1,1,ERA5 - 2018 Kerala Floods
3.2,95.0,24.0,1009.9,10.4,0.0,19,1,1,ERA5 - 2018 Kerala Floods
1.9,95.0,24.1,1009.4,11.4,0.0,20,1,1,ERA5 - 2018 Kerala Floods
2.1,95.0,24.0,1008.7,7.9,0.0,21,1,1,ERA5 - 2018 Kerala Floods
0.6,95.0,24.1,1008.5,12.0,0.0,22,1,1,ERA5 - 2018 Kerala Floods
2.0,95.0,23.8,1008.8,12.2,0.0,23,1,1,ERA5 - 2018 Kerala Floods
2.2,92.0,24.5,1009.1,12.1,0.0,0,1,1,ERA5 - 2018 Kerala Floods
0.7,92.0,24.7,1009.4,15.0,0.0,1,1,1,ERA5 - 2018 Kerala Floods
0.2,89.0,25.3,1009.9,16.1,0.0,2,1,1,ERA5 - 2018 Kerala Floods
0.1,88.0,25.9,1010.7,7.4,0.0,3,1,1,ERA5 - 2018 Kerala Floods
0.0,86.0,26.6,1011.3,8.4,0.0,4,1,1,ERA5 - 2018 Kerala Floods
0.4,88.0,26.4,1011.4,10.5,0.0,5,1,1,ERA5 - 2018 Kerala Floods
0.2,84.0,27.3,1010.9,10.7,0.0,6,1,1,ERA5 - 2018 Kerala Floods
0.2,86.0,26.4,1010.8,14.0,0.0,7,1,1,ERA5 - 2018 Kerala Floods
0.2,84.0,26.5,1009.8,15.0,0.0,8,1,1,ERA5 - 2018 Kerala Floods
0.3,85.0,26.5,1009.3,13.8,0.0,9,1,1,ERA5 - 2018 Kerala Floods
0.3,84.0,26.7,1009.0,16.8,0.0,10,1,1,ERA5 - 2018 Kerala Floods
0.4,85.0,26.3,1009.0,15.3,0.0,11,1,1,ERA5 - 2018 Kerala Floods
0.4,87.0,26.0,1008.8,9.5,0.0,12,1,1,ERA5 - 2018 Kerala Floods
0.3,88.0,25.5,1009.5,10.6,0.0,13,1,1,ERA5 - 2018 Kerala Floods
0.0,91.0,25.2,1010.0,6.1,0.0,14,1,1,ERA5 - 2018 Kerala Floods
0.1,93.0,24.9,1010.9,7.2,0.0,15,1,1,ERA5 - 2018 Kerala Floods
0.2,93.0,24.9,1011.8,5.8,0.0,16,1,1,ERA5 - 2018 Kerala Floods
0.2,92.0,24.9,1012.3,7.9,0.0,17,1,1,ERA5 - 2018 Kerala Floods
0.9,93.0,24.8,1012.4,11.2,0.0,18,1,1,ERA5 - 2018 Kerala Floods
1.3,94.0,24.5,1011.9,11.5,0.0,19,1,1,ERA5 - 2018 Kerala Floods
0.8,94.0,24.2,1011.2,12.5,0.0,20,1,1,ERA5 - 2018 Kerala Floods
1.4,94.0,24.1,1010.8,11.2,0.0,21,1,1,ERA5 - 2018 Kerala Floods
1.0,95.0,24.2,1010.5,9.2,0.0,22,1,1,ERA5 - 2018 Kerala Floods
1.5,94.0,24.3,1010.6,7.2,0.0,23,1,1,ERA5 - 2018 Kerala Floods
