temperature,humidity,pressure,wind_speed,magnitude,place,time,Invalid MAP_KEY.
,,,,1.5,"74 km SW of Nanwalek, Alaska",1773400865030.0,
,,,,1.34,"14 km NE of Milford, Utah",1773399990760.0,
,,,,3.5,"13 km WNW of Larsen Bay, Alaska",1773399601897.0,
,,,,2.66,"16 km NNE of Borrego Springs, CA",1773399178090.0,
,,,,1.76,"14 km NE of Pāhala, Hawaii",1773398988860.0,
,,,,1.7,"49 km W of Mentone, Texas",1773398862804.0,
,,,,1.29,"42 km ESE of Goldfield, Nevada",1773398755804.0,
,,,,0.76,"9 km ESE of Ridgecrest, CA",1773398706430.0,
,,,,0.9,"14 km NE of Milford, Utah",1773398581820.0,
,,,,0.35,"9 km SSW of Idyllwild, CA",1773398483970.0,
,,,,1.82,"24 km S of Fern Forest, Hawaii",1773397495710.0,
,,,,0.54,"17 km NE of Pine Valley, CA",1773397338000.0,
,,,,0.41,"7 km ENE of Aguanga, CA",1773397222850.0,
,,,,1.07,"7 km NW of The Geysers, CA",1773396383490.0,
,,,,1.84,"7 km W of Kenwood, CA",1773395483180.0,
,,,,0.78,"13 km ENE of Ridgecrest, CA",1773395246820.0,
,,,,2.45,"27 km WNW of Ludlow, CA",1773395099330.0,
,,,,2.1,"64 km ESE of Pedro Bay, Alaska",1773394852201.0,
,,,,2.08,"12 km WNW of Toms Place, CA",1773394621630.0,
,,,,2.11,"2 km NNE of Millbrae, CA",1773394232260.0,
,,,,1.13,"24 km N of Yucca Valley, CA",1773394098400.0,
,,,,1.72,"23 km SSE of Pāhala, Hawaii",1773393663640.0,
,,,,1.55,"15 km NE of Milford, Utah",1773393576650.0,
,,,,0.34,"21 km E of Little Lake, CA",1773393218740.0,
,,,,1.3,"54 km WNW of Ninilchik, Alaska",1773392727693.0,
,,,,1.0,"106 km SSE of McCarthy, Alaska",1773392138524.0,
,,,,2.2,"2 km ENE of Bella, Italy",1773392098671.0,
,,,,1.01,"15 km NE of Milford, Utah",1773392053050.0,
,,,,1.4,"16 km W of Ivanof Bay, Alaska",1773391744477.0,
,,,,1.84,"8 km NW of The Geysers, CA",1773391381430.0,
,,,,0.66,"4 km W of Lake Henshaw, CA",1773390789790.0,
,,,,1.8,"52 km SW of Tanana, Alaska",1773390217812.0,
,,,,0.26,"7 km NW of The Geysers, CA",1773389658320.0,
,,,,2.65,"18 km SE of Alamo, Nevada",1773389642046.0,
,,,,1.14,"13 km SSE of Volcano, Hawaii",1773389515330.0,
,,,,1.24,"15 km NE of Milford, Utah",1773389113990.0,
,,,,0.56,"10 km NE of Julian, CA",1773388288900.0,
,,,,1.5,"10 km N of Susitna, Alaska",1773388163624.0,
,,,,2.01,"33 km SSE of McClellanville, South Carolina",1773388081010.0,
,,,,0.98,"8 km NW of The Geysers, CA",1773387558320.0,
,,,,1.11,"5 km WNW of Cobb, CA",1773387295800.0,
,,,,2.6,"116 km SE of Perryville, Alaska",1773386562398.0,
,,,,1.5,"7 km NW of Point MacKenzie, Alaska",1773386537651.0,
,,,,1.77,"16 km S of Salton City, CA",1773386359350.0,
,,,,0.9,"10 km NNW of Big Spring, Texas",1773386169219.0,
,,,,1.4,"33 km SSE of Denali National Park, Alaska",1773386027126.0,
,,,,5.2,southeast of Easter Island,1773385225481.0,
,,,,1.4,"8 km NE of Amarillo, Texas",1773385034577.0,
,,,,2.88,"14 km NNE of Hawaiian Ocean View, Hawaii",1773384899800.0,
,,,,1.6,"11 km NE of Yucaipa, CA",1773384479160.0,
,,,,1.7,"26 km WNW of Ludlow, CA",1773384469920.0,
,,,,2.29,"27 km WNW of Ludlow, CA",1773384183940.0,
,,,,2.29,"2 km W of Redwood Valley, CA",1773383962290.0,
,,,,1.55,"14 km NE of Ridgecrest, CA",1773379969550.0,
,,,,0.46,"52 km ESE of Beatty, Nevada",1773379341064.0,
,,,,1.41,"5 km ESE of Spanish Springs, Nevada",1773379252053.0,
,,,,0.77,"6 km NW of The Geysers, CA",1773378769780.0,
,,,,0.6,"13 km ESE of Anza, CA",1773378226260.0,
,,,,5.2,Kermadec Islands region,1773377671741.0,
,,,,2.3,"66 km SSE of Chignik, Alaska",1773377266531.0,
,,,,1.04,"8 km WNW of Cobb, CA",1773376809300.0,
,,,,0.76,"6 km NW of The Geysers, CA",1773376784660.0,
,,,,0.84,"4 km N of Yucca Valley, CA",1773376731890.0,
,,,,1.43,"18 km SSW of Carpinteria, CA",1773376276950.0,
,,,,0.4,"1 km WNW of The Geysers, CA",1773375560670.0,
,,,,3.1,"67 km SSE of Chignik, Alaska",1773375321489.0,
,,,,1.07,"2 km SSW of Cobb, CA",1773374995910.0,
,,,,0.71,"3 km NW of The Geysers, CA",1773374983370.0,
,,,,1.1,"10 km WSW of Stanton, Texas",1773374968966.0,
,,,,1.43,"6 km S of San Juan Bautista, CA",1773374715330.0,
,,,,1.76,"2 km SSW of Pāhala, Hawaii",1773374370440.0,
,,,,1.6,"60 km WNW of Nanwalek, Alaska",1773373930523.0,
,,,,1.2,"53 km S of Glacier View, Alaska",1773372776573.0,
,,,,4.7,"222 km ESE of Attu Station, Alaska",1773372632440.0,
,,,,1.7,"30 km N of Karluk, Alaska",1773372057935.0,
,,,,0.84,"34 km NE of Indian Springs, Nevada",1773372048634.0,
,,,,4.37,"13 km ESE of Pāhala, Hawaii",1773371778800.0,
,,,,1.2,"119 km SE of McCarthy, Alaska",1773371536220.0,
,,,,0.67,"30 km NNE of Indian Springs, Nevada",1773371446836.0,
,,,,1.0,"7 km SE of Big Spring, Texas",1773371129457.0,
,,,,3.0,"28 km N of Karluk, Alaska",1773370835605.0,
,,,,0.28,"7 km NW of The Geysers, CA",1773370828600.0,
,,,,1.82,"14 km NE of Milford, Utah",1773370556500.0,
,,,,1.7,"7 km NNE of Nikolaevsk, Alaska",1773370326063.0,
,,,,1.7,"19 km ENE of Nikiski, Alaska",1773369982979.0,
,,,,2.3,"31 km NNW of Susitna, Alaska",1773368764410.0,
,,,,1.8,"22 km SSW of Ludlow, CA",1773368307170.0,
,,,,1.06,"21 km NNE of Yerington, Nevada",1773367876687.0,
,,,,1.2,"67 km S of Glacier View, Alaska",1773367257904.0,
,,,,1.17,"12 km SSW of Salton City, CA",1773367145960.0,
,,,,0.75,"6 km NW of The Geysers, CA",1773366782660.0,
,,,,1.5,"38 km SSE of Manley Hot Springs, Alaska",1773366677658.0,
,,,,2.01,"34 km WSW of Lompoc, CA",1773366637580.0,
,,,,1.0,"22 km SE of Chickaloon, Alaska",1773366034717.0,
,,,,1.7,"34 km SW of Skwentna, Alaska",1773365755831.0,
,,,,2.71,"7 km SE of Carpinteria, CA",1773365582900.0,
,,,,0.65,"7 km ESE of Valle Vista, CA",1773365564910.0,
,,,,1.4,"31 km NNE of Petersville, Alaska",1773365515222.0,
,,,,1.82,"9 km NNW of Stagecoach, Nevada",1773365376595.0,
,,,,-0.1,"14 km NE of Milford, Utah",1773364821670.0,
,,,,0.46,"15 km NE of Milford, Utah",1773364719020.0,
,,,,1.5,"58 km S of Whites City, New Mexico",1773364443739.0,
,,,,2.3,"53 km SE of Kokhanok, Alaska",1773363868532.0,
,,,,1.67,"8 km NW of Prague, Oklahoma",1773363275090.0,
,,,,1.03,"15 km NE of Milford, Utah",1773362966290.0,
,,,,1.22,"42 km NE of Samak, Utah",1773362220680.0,
,,,,3.9,"84 km SW of Nikolski, Alaska",1773362197453.0,
,,,,5.3,"16 km E of Erbaa, Turkey",1773362114948.0,
,,,,1.5,"129 km S of McCarthy, Alaska",1773362032715.0,
,,,,1.17,"18 km WNW of Winters, CA",1773361460410.0,
,,,,1.5,"59 km S of Whites City, New Mexico",1773361317797.0,
,,,,1.9,"95 km NW of Yakutat, Alaska",1773361062189.0,
,,,,1.0,"39 km ENE of McKinney Acres, Texas",1773360868687.0,
,,,,2.1,"12 km WSW of Stanton, Texas",1773360524850.0,
,,,,0.8,"5 km NNE of Midland, Texas",1773360410853.0,
,,,,2.8,"118 km SE of Perryville, Alaska",1773360065389.0,
,,,,1.41,"12 km SSE of Big Bear Lake, CA",1773359690910.0,
,,,,0.7,"39 km E of McKinney Acres, Texas",1773359492689.0,
,,,,1.41,"10 km ESE of Pāhala, Hawaii",1773359111940.0,
,,,,1.8,"12 km WSW of Stanton, Texas",1773359052231.0,
,,,,0.75,"9 km NW of The Geysers, CA",1773358946900.0,
,,,,1.5,"7 km WNW of Friday Harbor, Washington",1773358672100.0,
,,,,-0.49,"62 km ENE of Pedro Bay, Alaska",1773358383150.0,
,,,,-0.16,"11 km NW of Dutch Harbor, Alaska",1773358275110.0,
,,,,1.4,"12 km SW of Trapper Creek, Alaska",1773358217921.0,
,,,,2.17,"6 km SSE of Pāhala, Hawaii",1773357939540.0,
,,,,1.8,"23 km SW of Glacier View, Alaska",1773357832507.0,
,,,,-1.2,"64 km ENE of Pedro Bay, Alaska",1773357780310.0,
,,,,1.3,"19 km NW of Toyah, Texas",1773357463790.0,
,,,,1.3,"33 km SW of Cantwell, Alaska",1773357234047.0,
,,,,1.19,"2 km S of Redwood Valley, CA",1773356920070.0,
,,,,2.14,"8 km S of Princeton, Canada",1773356885190.0,
,,,,4.4,"228 km ESE of Attu Station, Alaska",1773356825565.0,
,,,,1.4,"10 km ENE of Fox, Alaska",1773356569279.0,
,,,,1.8,"95 km S of McCarthy, Alaska",1773356446896.0,
,,,,0.8,"11 km NW of Dutch Harbor, Alaska",1773354546920.0,
,,,,2.0,"62 km E of Pedro Bay, Alaska",1773353320551.0,
,,,,0.77,"6 km WNW of Cobb, CA",1773353027550.0,
,,,,1.15,"27 km NNE of Montecito, CA",1773352922230.0,
,,,,5.2,"155 km SW of Kavieng, Papua New Guinea",1773352726473.0,
,,,,1.47,"14 km NE of Milford, Utah",1773352375160.0,
,,,,1.6,"9 km W of Arcata, CA",1773352220590.0,
,,,,0.76,"8 km NW of The Geysers, CA",1773352018870.0,
,,,,0.78,"Rat Islands, Aleutian Islands, Alaska",1773351925700.0,
,,,,1.04,"5 km SSE of Yerington, Nevada",1773351504155.0,
,,,,4.5,"121 km SE of Modisi, Indonesia",1773351371835.0,
,,,,1.08,"168 km WSW of Adak, Alaska",1773351225360.0,
,,,,1.53,"5 km N of Summerlin South, Nevada",1773350651269.0,
,,,,0.76,"14 km NE of Milford, Utah",1773350499570.0,
,,,,1.79,"14 km NE of Milford, Utah",1773350285450.0,
,,,,1.1,"109 km S of McCarthy, Alaska",1773348980836.0,
,,,,1.43,"14 km NE of Milford, Utah",1773348292820.0,
,,,,1.3,"7 km SW of Corona, CA",1773347972170.0,
,,,,1.5,"13 km W of Clear, Alaska",1773347347608.0,
,,,,1.06,"6 km WNW of Borrego Springs, CA",1773347177270.0,
,,,,,,,north].
,,,,,,,
